,Year,Q,Quarter,Artist Genre,Gross USD,key,Benchmark,% of Benchmark
3,2015,Q1,2015 Q1,Hip Hop,100655.0,Q1_Hip Hop,105731.58333333333,95.2
4,2015,Q1,2015 Q1,Indie,79260.0,Q1_Indie,86022.27777777777,92.14
5,2015,Q1,2015 Q1,Other,111340.0,Q1_Other,75712.33333333333,147.06
6,2015,Q1,2015 Q1,Pop,100520.0,Q1_Pop,97839.16666666667,102.74
7,2015,Q1,2015 Q1,Rock,99732.66666666667,Q1_Rock,95495.61428571428,104.44
8,2015,Q2,2015 Q2,Country,84630.0,Q2_Country,105061.0,80.55
9,2015,Q2,2015 Q2,Electronic,51440.0,Q2_Electronic,93868.22222888889,54.8
10,2015,Q2,2015 Q2,Folk,88958.83333333333,Q2_Folk,74868.66666666666,118.82
11,2015,Q2,2015 Q2,Indie,81489.25,Q2_Indie,95077.36111111111,85.71
12,2015,Q2,2015 Q2,Other,56928.0,Q2_Other,91384.83333333333,62.29
13,2015,Q2,2015 Q2,Pop,110600.0,Q2_Pop,124285.0,88.99
14,2015,Q2,2015 Q2,Punk or Metal,78760.0,Q2_Punk or Metal,96139.33333333333,81.92
15,2015,Q2,2015 Q2,Rock,109661.0,Q2_Rock,105540.38888888889,103.9
16,2015,Q2,2015 Q2,Soul,177353.0,Q2_Soul,124136.5,142.87
17,2015,Q3,2015 Q3,Country,92295.0,Q3_Country,131445.0,70.22
18,2015,Q3,2015 Q3,Electronic,82600.0,Q3_Electronic,97700.41666666667,84.54
19,2015,Q3,2015 Q3,Indie,82600.0,Q3_Indie,91052.46296296296,90.72
20,2015,Q3,2015 Q3,Other,138026.0,Q3_Other,68140.16666666667,202.56
21,2015,Q3,2015 Q3,Pop,72308.0,Q3_Pop,134358.0,53.82
22,2015,Q3,2015 Q3,Punk or Metal,98000.0,Q3_Punk or Metal,85586.83333333333,114.5
23,2015,Q3,2015 Q3,Rock,114105.0,Q3_Rock,124573.7777777778,91.6
24,2015,Q3,2015 Q3,Soul,163636.0,Q3_Soul,118695.0,137.86
25,2015,Q4,2015 Q4,Blues,119900.0,Q4_Blues,134252.5,89.31
26,2015,Q4,2015 Q4,Country,82600.0,Q4_Country,140010.75,59.0
27,2015,Q4,2015 Q4,Electronic,74642.0,Q4_Electronic,76664.44285714286,97.36
28,2015,Q4,2015 Q4,Folk,92880.0,Q4_Folk,101756.64444444445,91.28
29,2015,Q4,2015 Q4,Hip Hop,100800.0,Q4_Hip Hop,118284.04285714286,85.22
30,2015,Q4,2015 Q4,Indie,77000.0,Q4_Indie,81774.44444444444,94.16
31,2015,Q4,2015 Q4,Pop,88200.0,Q4_Pop,114800.55555555555,76.83
32,2015,Q4,2015 Q4,Punk or Metal,155509.0,Q4_Punk or Metal,146192.3333333333,106.37
33,2015,Q4,2015 Q4,Rock,96174.0,Q4_Rock,100493.72222222223,95.7
34,2016,Q1,2016 Q1,Country,53368.0,Q1_Country,53368.0,100.0
35,2016,Q1,2016 Q1,Electronic,98205.0,Q1_Electronic,102391.16666666667,95.91
36,2016,Q1,2016 Q1,Folk,75901.83333333333,Q1_Folk,78320.44444444444,96.91
37,2016,Q1,2016 Q1,Hip Hop,116819.0,Q1_Hip Hop,105731.58333333333,110.49
38,2016,Q1,2016 Q1,Indie,82600.0,Q1_Indie,86022.27777777777,96.02
39,2016,Q1,2016 Q1,Pop,102719.5,Q1_Pop,97839.16666666667,104.99
40,2016,Q1,2016 Q1,Rock,101772.14285714286,Q1_Rock,95495.61428571428,106.57
41,2016,Q1,2016 Q1,Soul,258810.74997499998,Q1_Soul,173479.8749875,149.19
42,2016,Q2,2016 Q2,Blues,112722.0,Q2_Blues,95773.5,117.7
43,2016,Q2,2016 Q2,Electronic,98932.0,Q2_Electronic,93868.22222888889,105.39
44,2016,Q2,2016 Q2,Indie,89508.33333333333,Q2_Indie,95077.36111111111,94.14
45,2016,Q2,2016 Q2,Other,66357.5,Q2_Other,91384.83333333333,72.61
46,2016,Q2,2016 Q2,Punk or Metal,108100.0,Q2_Punk or Metal,96139.33333333333,112.44
47,2016,Q2,2016 Q2,Rock,122294.66666666667,Q2_Rock,105540.38888888889,115.87
48,2016,Q2,2016 Q2,Soul,87155.0,Q2_Soul,124136.5,70.21
49,2016,Q3,2016 Q3,Blues,126534.5,Q3_Blues,100740.94444444444,125.6
50,2016,Q3,2016 Q3,Electronic,107623.75,Q3_Electronic,97700.41666666667,110.16
51,2016,Q3,2016 Q3,Folk,82538.0,Q3_Folk,106959.94444444444,77.17
52,2016,Q3,2016 Q3,Hip Hop,86992.0,Q3_Hip Hop,97217.26666666666,89.48
53,2016,Q3,2016 Q3,Indie,75992.5,Q3_Indie,91052.46296296296,83.46
54,2016,Q3,2016 Q3,Other,59277.5,Q3_Other,68140.16666666667,86.99
55,2016,Q3,2016 Q3,Punk or Metal,105856.0,Q3_Punk or Metal,85586.83333333333,123.68
56,2016,Q3,2016 Q3,Rock,153013.0,Q3_Rock,124573.7777777778,122.83
57,2016,Q3,2016 Q3,Soul,66960.0,Q3_Soul,118695.0,56.41
58,2016,Q4,2016 Q4,Country,107584.0,Q4_Country,140010.75,76.84
59,2016,Q4,2016 Q4,Electronic,66811.28571428571,Q4_Electronic,76664.44285714286,87.15
60,2016,Q4,2016 Q4,Folk,112992.33333333333,Q4_Folk,101756.64444444445,111.04
61,2016,Q4,2016 Q4,Hip Hop,111605.42857142857,Q4_Hip Hop,118284.04285714286,94.35
62,2016,Q4,2016 Q4,Indie,88637.33333333333,Q4_Indie,81774.44444444444,108.39
63,2016,Q4,2016 Q4,Other,66898.0,Q4_Other,93912.33333333333,71.23
64,2016,Q4,2016 Q4,Pop,146488.66666666666,Q4_Pop,114800.55555555555,127.6
65,2016,Q4,2016 Q4,Punk or Metal,162618.66666666666,Q4_Punk or Metal,146192.3333333333,111.24
66,2016,Q4,2016 Q4,Rock,106538.0,Q4_Rock,100493.72222222223,106.01
67,2017,Q1,2017 Q1,Blues,150982.0,Q1_Blues,184043.5,82.04
68,2017,Q1,2017 Q1,Electronic,103743.5,Q1_Electronic,102391.16666666667,101.32
69,2017,Q1,2017 Q1,Folk,76560.0,Q1_Folk,78320.44444444444,97.75
70,2017,Q1,2017 Q1,Hip Hop,86152.0,Q1_Hip Hop,105731.58333333333,81.48
71,2017,Q1,2017 Q1,Indie,81862.5,Q1_Indie,86022.27777777777,95.16
72,2017,Q1,2017 Q1,Other,75712.33333333333,Q1_Other,75712.33333333333,100.0
73,2017,Q1,2017 Q1,Pop,99005.0,Q1_Pop,97839.16666666667,101.19
74,2017,Q1,2017 Q1,Punk or Metal,91822.0,Q1_Punk or Metal,114884.75,79.93
75,2017,Q1,2017 Q1,Rock,68918.5,Q1_Rock,95495.61428571428,72.17
76,2017,Q2,2017 Q2,Country,105061.0,Q2_Country,105061.0,100.0
77,2017,Q2,2017 Q2,Electronic,99936.00002,Q2_Electronic,93868.22222888889,106.46
78,2017,Q2,2017 Q2,Folk,70092.0,Q2_Folk,74868.66666666666,93.62
79,2017,Q2,2017 Q2,Hip Hop,116090.0,Q2_Hip Hop,85467.5,135.83
80,2017,Q2,2017 Q2,Indie,89240.25,Q2_Indie,95077.36111111111,93.86
81,2017,Q2,2017 Q2,Other,102937.0,Q2_Other,91384.83333333333,112.64
82,2017,Q2,2017 Q2,Punk or Metal,72518.0,Q2_Punk or Metal,96139.33333333333,75.43
83,2017,Q2,2017 Q2,Rock,116612.0,Q2_Rock,105540.38888888889,110.49
84,2017,Q3,2017 Q3,Blues,76165.0,Q3_Blues,100740.94444444444,75.6
85,2017,Q3,2017 Q3,Country,131445.0,Q3_Country,131445.0,100.0
86,2017,Q3,2017 Q3,Electronic,102252.5,Q3_Electronic,97700.41666666667,104.66
87,2017,Q3,2017 Q3,Folk,125616.33333333333,Q3_Folk,106959.94444444444,117.44
88,2017,Q3,2017 Q3,Hip Hop,109678.8,Q3_Hip Hop,97217.26666666666,112.82
89,2017,Q3,2017 Q3,Indie,61919.0,Q3_Indie,91052.46296296296,68.0
90,2017,Q3,2017 Q3,Other,59800.0,Q3_Other,68140.16666666667,87.76
91,2017,Q3,2017 Q3,Pop,134358.0,Q3_Pop,134358.0,100.0
92,2017,Q3,2017 Q3,Punk or Metal,59739.5,Q3_Punk or Metal,85586.83333333333,69.8
93,2017,Q3,2017 Q3,Rock,146722.33333333334,Q3_Rock,124573.7777777778,117.78
94,2017,Q3,2017 Q3,Soul,170430.0,Q3_Soul,118695.0,143.59
95,2017,Q4,2017 Q4,Blues,155859.0,Q4_Blues,134252.5,116.09
96,2017,Q4,2017 Q4,Electronic,86517.6,Q4_Electronic,76664.44285714286,112.85
97,2017,Q4,2017 Q4,Folk,93700.0,Q4_Folk,101756.64444444445,92.08
98,2017,Q4,2017 Q4,Hip Hop,99390.2,Q4_Hip Hop,118284.04285714286,84.03
99,2017,Q4,2017 Q4,Indie,97958.0,Q4_Indie,81774.44444444444,119.79
100,2017,Q4,2017 Q4,Other,82210.75,Q4_Other,93912.33333333333,87.54
101,2017,Q4,2017 Q4,Pop,95122.0,Q4_Pop,114800.55555555555,82.86
102,2017,Q4,2017 Q4,Punk or Metal,129766.0,Q4_Punk or Metal,146192.3333333333,88.76
103,2017,Q4,2017 Q4,Rock,102896.66666666667,Q4_Rock,100493.72222222223,102.39
104,2017,Q4,2017 Q4,Soul,118814.25,Q4_Soul,182754.925,65.01
105,2018,Q1,2018 Q1,Blues,217105.0,Q1_Blues,184043.5,117.96
106,2018,Q1,2018 Q1,Electronic,105225.0,Q1_Electronic,102391.16666666667,102.77
107,2018,Q1,2018 Q1,Folk,82499.5,Q1_Folk,78320.44444444444,105.34
108,2018,Q1,2018 Q1,Hip Hop,114223.75,Q1_Hip Hop,105731.58333333333,108.03
109,2018,Q1,2018 Q1,Indie,93604.33333333333,Q1_Indie,86022.27777777777,108.81
110,2018,Q1,2018 Q1,Pop,91793.0,Q1_Pop,97839.16666666667,93.82
111,2018,Q1,2018 Q1,Punk or Metal,137947.5,Q1_Punk or Metal,114884.75,120.07
112,2018,Q1,2018 Q1,Rock,115796.2,Q1_Rock,95495.61428571428,121.26
113,2018,Q1,2018 Q1,Soul,88149.0,Q1_Soul,173479.8749875,50.81
114,2018,Q2,2018 Q2,Blues,78825.0,Q2_Blues,95773.5,82.3
115,2018,Q2,2018 Q2,Electronic,82736.66666666667,Q2_Electronic,93868.22222888889,88.14
116,2018,Q2,2018 Q2,Folk,79645.33333333333,Q2_Folk,74868.66666666666,106.38
117,2018,Q2,2018 Q2,Hip Hop,54845.0,Q2_Hip Hop,85467.5,64.17
118,2018,Q2,2018 Q2,Indie,106483.5,Q2_Indie,95077.36111111111,112.0
119,2018,Q2,2018 Q2,Other,104860.0,Q2_Other,91384.83333333333,114.75
120,2018,Q2,2018 Q2,Pop,124285.0,Q2_Pop,124285.0,100.0
121,2018,Q2,2018 Q2,Punk or Metal,107800.0,Q2_Punk or Metal,96139.33333333333,112.13
122,2018,Q2,2018 Q2,Rock,77714.5,Q2_Rock,105540.38888888889,73.63
123,2018,Q2,2018 Q2,Soul,161118.0,Q2_Soul,124136.5,129.79
124,2018,Q3,2018 Q3,Blues,99523.33333333333,Q3_Blues,100740.94444444444,98.79
125,2018,Q3,2018 Q3,Electronic,83225.0,Q3_Electronic,97700.41666666667,85.18
126,2018,Q3,2018 Q3,Folk,112725.5,Q3_Folk,106959.94444444444,105.39
127,2018,Q3,2018 Q3,Hip Hop,94981.0,Q3_Hip Hop,97217.26666666666,97.7
128,2018,Q3,2018 Q3,Indie,135245.88888888888,Q3_Indie,91052.46296296296,148.54
129,2018,Q3,2018 Q3,Other,85343.0,Q3_Other,68140.16666666667,125.25
130,2018,Q3,2018 Q3,Punk or Metal,91165.0,Q3_Punk or Metal,85586.83333333333,106.52
131,2018,Q3,2018 Q3,Rock,73986.0,Q3_Rock,124573.7777777778,59.39
132,2018,Q4,2018 Q4,Blues,112646.0,Q4_Blues,134252.5,83.91
133,2018,Q4,2018 Q4,Country,172437.5,Q4_Country,140010.75,123.16
134,2018,Q4,2018 Q4,Folk,98577.6,Q4_Folk,101756.64444444445,96.88
135,2018,Q4,2018 Q4,Hip Hop,143856.5,Q4_Hip Hop,118284.04285714286,121.62
136,2018,Q4,2018 Q4,Indie,58728.0,Q4_Indie,81774.44444444444,71.82
137,2018,Q4,2018 Q4,Other,132628.25,Q4_Other,93912.33333333333,141.23
138,2018,Q4,2018 Q4,Pop,102791.0,Q4_Pop,114800.55555555555,89.54
139,2018,Q4,2018 Q4,Rock,92046.5,Q4_Rock,100493.72222222223,91.59
140,2018,Q4,2018 Q4,Soul,246695.6,Q4_Soul,182754.925,134.99
141,2019,Q1,2019 Q1,Country,98315.0,Q1_Country,53368.0,184.22
142,2019,Q1,2019 Q1,Electronic,82341.25,Q1_Electronic,102391.16666666667,80.42
143,2019,Q1,2019 Q1,Folk,83714.0,Q1_Folk,78320.44444444444,106.89
144,2019,Q1,2019 Q1,Hip Hop,95480.0,Q1_Hip Hop,105731.58333333333,90.3
145,2019,Q1,2019 Q1,Indie,78794.5,Q1_Indie,86022.27777777777,91.6
146,2019,Q1,2019 Q1,Other,139469.0,Q1_Other,75712.33333333333,184.21
147,2019,Q1,2019 Q1,Pop,121367.0,Q1_Pop,97839.16666666667,124.05
148,2019,Q1,2019 Q1,Punk or Metal,44008.0,Q1_Punk or Metal,114884.75,38.31
149,2019,Q1,2019 Q1,Rock,125691.6,Q1_Rock,95495.61428571428,131.62
150,2019,Q1,2019 Q1,Soul,95380.0,Q1_Soul,173479.8749875,54.98
151,2019,Q2,2019 Q2,Blues,174963.5,Q2_Blues,95773.5,182.68
152,2019,Q2,2019 Q2,Electronic,61421.0,Q2_Electronic,93868.22222888889,65.43
153,2019,Q2,2019 Q2,Folk,80194.25,Q2_Folk,74868.66666666666,107.11
154,2019,Q2,2019 Q2,Hip Hop,96001.0,Q2_Hip Hop,85467.5,112.32
155,2019,Q2,2019 Q2,Indie,107528.25,Q2_Indie,95077.36111111111,113.1
156,2019,Q2,2019 Q2,Other,68365.0,Q2_Other,91384.83333333333,74.81
157,2019,Q2,2019 Q2,Pop,93891.33333333333,Q2_Pop,124285.0,75.55
158,2019,Q2,2019 Q2,Punk or Metal,114476.0,Q2_Punk or Metal,96139.33333333333,119.07
159,2019,Q2,2019 Q2,Rock,107530.0,Q2_Rock,105540.38888888889,101.89
160,2019,Q3,2019 Q3,Hip Hop,93072.5,Q3_Hip Hop,97217.26666666666,95.74
161,2019,Q3,2019 Q3,Other,86480.0,Q3_Other,68140.16666666667,126.91
162,2019,Q3,2019 Q3,Pop,245813.0,Q3_Pop,134358.0,182.95
163,2019,Q3,2019 Q3,Rock,180110.4,Q3_Rock,124573.7777777778,144.58
164,2019,Q3,2019 Q3,Soul,173289.0,Q3_Soul,118695.0,146.0
